Time: 2023-07-14 20:18:47.428204, Result: No human, Confidence: 0.886166
Time: 2023-07-14 20:18:49.756358, Result: No human, Confidence: 0.821797
Time: 2023-07-14 20:18:56.707180, Result: No human, Confidence: 0.797160
Time: 2023-07-14 20:18:59.410712, Result: No human, Confidence: 0.792105
Time: 2023-07-14 20:19:06.445933, Result: No human, Confidence: 0.857902
Time: 2023-07-14 20:19:08.972656, Result: No human, Confidence: 0.871664
Time: 2023-07-14 20:19:16.438829, Result: No human, Confidence: 0.899075
Time: 2023-07-14 20:19:18.416639, Result: No human, Confidence: 0.897144
Time: 2023-07-14 20:19:25.459307, Result: No human, Confidence: 0.921956
Time: 2023-07-14 20:19:28.121212, Result: No human, Confidence: 0.943096
Time: 2023-07-14 20:19:35.652312, Result: No human, Confidence: 0.910115
Time: 2023-07-14 20:19:37.786903, Result: No human, Confidence: 0.907979
Time: 2023-07-14 20:19:45.068632, Result: No human, Confidence: 0.940916
Time: 2023-07-14 20:19:47.389966, Result: No human, Confidence: 0.927753
Time: 2023-07-14 20:19:54.887350, Result: No human, Confidence: 0.785737
Time: 2023-07-14 20:19:57.471497, Result: No human, Confidence: 0.754076
Time: 2023-07-14 20:20:04.656840, Result: No human, Confidence: 0.743140
Time: 2023-07-14 20:20:07.499604, Result: No human, Confidence: 0.743196
Time: 2023-07-14 20:20:14.902398, Result: No human, Confidence: 0.985065
Time: 2023-07-14 20:20:17.474607, Result: No human, Confidence: 0.988123
Time: 2023-07-14 20:20:24.576798, Result: No human, Confidence: 0.990265
Time: 2023-07-14 20:20:26.680339, Result: No human, Confidence: 0.988108
Time: 2023-07-14 20:20:33.908112, Result: No human, Confidence: 0.982204
Time: 2023-07-14 20:20:35.680434, Result: No human, Confidence: 0.986380
Time: 2023-07-14 20:20:42.656242, Result: No human, Confidence: 0.975356
Time: 2023-07-14 20:20:44.446131, Result: No human, Confidence: 0.967744
Time: 2023-07-14 20:20:51.438366, Result: No human, Confidence: 0.975774
